time,ax,ay,az
0,0.110331748162717,-7.71258107801053e-05,2.56872712272938
0.0625,0.735951796555305,-0.000302669238242981,2.17519221267182
0.125,1.25846348795846,-0.000448434433445902,1.60165324476785
0.1875,1.62462595333926,-0.00038110873795425,0.945476281009036
0.25,1.80286006338729,-3.00388048460423e-05,0.303324198826455
0.3125,1.7876700476555,0.000517785459460551,-0.243728681240697
0.375,1.59936132787097,0.0010458777873886,-0.640930694807912
0.4375,1.27913939982814,0.00135821206866268,-0.865350595853208
0.5,0.881036122025428,0.00136129723990533,-0.925534523591967
0.5625,0.462869040747793,0.0010463073290447,-0.855449517156135
0.625,0.0782916891919313,0.000466493532859601,-0.703950721472646
0.6875,-0.228909891132089,-0.000255445136507077,-0.522233962761565
0.75,-0.428256209998717,-0.000926291747668644,-0.352512164206728
0.8125,-0.504491342432749,-0.00134213105362115,-0.220937436611633
0.875,-0.458732944298213,-0.00138686636613127,-0.136414339430174
0.9375,-0.308946010869314,-0.00107057436585462,-0.0948193844814634
1,-0.0889704654877451,-0.000493778023795497,-0.0861222001280625
1.0625,0.155089215652349,0.000195245043995576,-0.100929572161563
1.125,0.371855668557457,0.000824790624384257,-0.133569005707121
1.1875,0.514516644153851,0.00122494583120932,-0.180788935197946
1.25,0.551406162469673,0.00127501330929159,-0.237576207410221
1.3125,0.474169843913226,0.000952047138002467,-0.293275274308271
1.375,0.300480079469338,0.000329980819587105,-0.331222082178094
1.4375,0.0697427296537,-0.000458434807420992,-0.333341617609963
1.5,-0.167401578731215,-0.00124592512415998,-0.288376440692562
1.5625,-0.36267191196389,-0.00184147980862565,-0.199982108441342
1.625,-0.482481191461769,-0.00206073828104696,-0.0901604187038114
1.6875,-0.515067818140032,-0.00178923821975248,0.00500053623871483
1.75,-0.470449065906315,-0.00104145714696092,0.0470322433867896
1.8125,-0.373941642135106,4.40321188540351e-05,0.0103460689628482
1.875,-0.256322585776285,0.00125676540881866,-0.105124188492376
1.9375,-0.144656303134029,0.00234710264099567,-0.269754680277695
2,-0.057022711712882,0.00304500582932722,-0.431377439607532
2.0625,-0.00226379281147066,0.00311999986609753,-0.532001672823172
2.125,0.016565161747843,0.00248608663629768,-0.528180128536117
2.1875,-0.00204194469055351,0.00127246258189658,-0.40717091142563
2.25,-0.0601006509837861,-0.000219779280593328,-0.192365037244817
2.3125,-0.158541247366573,-0.00163676233997302,0.0644241591105508
2.375,-0.292750430383166,-0.00266937308434513,0.300970038539175
2.4375,-0.447934795627767,-0.00310963014234899,0.465960883399096
2.5,-0.597544812389436,-0.0028931279132391,0.535409356543629
2.5625,-0.706870583885486,-0.00212792598540027,0.518063682845043
2.625,-0.741585737093678,-0.0010702961211767,0.448367537561693
2.6875,-0.67854709909498,-1.98001802774977e-05,0.370595342466043
2.75,-0.514732019665432,0.000802912567886143,0.32114108155363
2.8125,-0.270537753563283,0.00130629922498431,0.316183901933364
2.875,0.0142983150512868,0.00150702764030529,0.349118125217687
2.9375,0.29102853837587,0.00148452038627114,0.397605688579451
3,0.514887355250247,0.00133637753511783,0.435974961342543
3.0625,0.656182403727367,0.00114037114768451,0.446777646260899
3.125,0.705833036337321,0.000927838987144628,0.426363279919684
3.1875,0.674067104091757,0.000684681632507721,0.382683583396076
3.25,0.583726440565152,0.000382994380166565,0.327496070571673
3.3125,0.461541663637397,1.45946471762187e-05,0.26777944525077
3.375,0.331030647639452,-0.000396486855459464,0.20127702764159
3.4375,0.209334505971174,-0.000797317838942415,0.118681550282802
3.5,0.108065500284953,-0.00111511047646179,0.011314463857011
3.5625,0.036223467293713,-0.00127549911011882,-0.119918824548478
3.625,0.00240651515363851,-0.00123378392498941,-0.259454411877424
3.6875,0.0142528877521647,-0.00099924808885513,-0.379337348394414
3.75,0.0748924588437919,-0.000628340290884724,-0.448749020890142
3.8125,0.178192196163491,-0.000195755933861235,-0.447016018306512
3.875,0.305704605936753,0.000229095590375034,-0.374268632186147
3.9375,0.427856522565139,0.000588690094767175,-0.254547919267341
4,0.510162872806795,0.000838026091964782,-0.129262768449177
4.0625,0.522910547021326,0.000951832055508772,-0.0430982468261087
4.125,0.450929752945075,0.00092938217007259,-0.0278727727684128
4.1875,0.299638133232976,0.00078408552631416,-0.0908857886564754
4.25,0.0947600446281991,0.000529787930084128,-0.212504115639061
4.3125,-0.124505974808202,0.000182830015807761,-0.353896768398491
4.375,-0.316589952864495,-0.000221723791135337,-0.471642122207018
4.4375,-0.449064119980138,-0.000618565352844876,-0.533220114340952
4.5,-0.506700720023409,-0.000921206769276014,-0.527292574796126
4.5625,-0.493706962340738,-0.00104921849755,-0.465115585110664
4.625,-0.430066948270497,-0.000956742844719465,-0.373254869077422
4.6875,-0.344006521830163,-0.000649205615662598,-0.281277157827905
4.75,-0.263634415537936,-0.000185839823113395,-0.209796522349154
4.8125,-0.210497999663087,0.000331895188260686,-0.163575291896772
4.875,-0.196449963664545,0.000786378161372002,-0.131811904009884
4.9375,-0.223603835275272,0.00107907417270515,-0.0945766663599241
5,-0.2860457682546,0.00116072668624339,-0.032011419481426
5.0625,-0.371806246728214,0.00104055973836965,0.0676928389779065
5.125,-0.464287146556826,0.000769793126164696,0.204353165992334
5.1875,-0.54335764006978,0.000411384063773996,0.366530206832542
5.25,-0.587017633785769,1.62151772765987e-05,0.535558337315222
5.3125,-0.57445092158689,-0.00038091071913395,0.690515513631036
5.375,-0.490479015106181,-0.000749001911191099,0.812131478468992
5.4375,-0.330341949561686,-0.00104851840785454,0.884873729069128
5.5,-0.103016642903646,-0.00123087856390682,0.897738633414396
5.5625,0.168590201630899,-0.00124731844529758,0.844856741581729
