time,ax,ay,az
0,1.78196005270877,0.00597480312977176,0.249829185412069
0.0625,1.94956759197991,0.00475481122229173,0.00673551088686231
0.125,1.86584465169391,0.00222035475434314,-0.195812865529212
0.1875,1.55213993158527,-0.000596796131246115,-0.358553466368687
0.25,1.069028110456,-0.00322470039176146,-0.482434772664628
0.3125,0.503893182133901,-0.00531258012789793,-0.56738312032667
0.375,-0.0475591742420637,-0.00641055840615461,-0.614983982500982
0.4375,-0.501149850391216,-0.00608078714689469,-0.632204912508444
0.5,-0.800244514373335,-0.00426435396972764,-0.632582431575199
0.5625,-0.923933344117251,-0.00164882719275662,-0.632635338729775
0.625,-0.885831802223303,0.000887144720501124,-0.644023211982338
0.6875,-0.724847561305152,0.00295181257763142,-0.664804548902028
0.75,-0.491584855346705,0.00442363006033871,-0.674615419711798
0.8125,-0.235016561879954,0.00515796856681057,-0.637783871630573
0.875,0.00665878171085876,0.00498666441488447,-0.515404999133881
0.9375,0.209081398241232,0.00395334720321345,-0.283335342667793
1,0.359331680406684,0.0024330670764848,0.0503675749724518
1.0625,0.450691863974918,0.000848100748920122,0.436213271164333
1.125,0.47793920666422,-0.000534409521677846,0.78800465966814
1.1875,0.435801799482993,-0.00153506959965705,1.00268539943284
1.25,0.321344817562765,-0.0020926607800832,0.990746720657692
1.3125,0.138892242214722,-0.00231320544498975,0.707933674968339
1.375,-0.0954180182331071,-0.00240279729968663,0.177263751075547
1.4375,-0.35252246796803,-0.00248631202378674,-0.507439465460467
1.5,-0.594556618921763,-0.00252645587850377,-1.19968106502457
1.5625,-0.783756542561246,-0.00247999534704208,-1.73607821300257
1.625,-0.893382508918927,-0.00232549227124528,-1.97952373145961
1.6875,-0.916554532750245,-0.00193545691595159,-1.85648440012053
1.75,-0.86913346943207,-0.00108807093996122,-1.37669217706078
1.8125,-0.784667545634645,0.000324742639281395,-0.629079440320524
1.875,-0.702324816924113,0.00209904273610618,0.244406150032151
1.9375,-0.651571956165756,0.00383627910965952,1.08823349770047
2,-0.639016076728204,0.0052184006210274,1.77297773303058
2.0625,-0.642568549245908,0.00600184260299358,2.22274615913035
