time_s,wave_elevation_m,body_position_x_m,body_position_y_m,body_position_z_m,body_roll_rad,body_pitch_rad,body_yaw_rad,body_velocity_x_m_s,body_velocity_y_m_s,body_velocity_z_m_s,body_omega_x_rad_s,body_omega_y_rad_s,body_omega_z_rad_s,body_acceleration_x_m_s2,body_acceleration_y_m_s2,body_acceleration_z_m_s2,body_alpha_x_rad_s2,body_alpha_y_rad_s2,body_alpha_z_rad_s2,body_forceTotal_x_N,body_forceTotal_y_N,body_forceTotal_z_N,body_forceTotal_Mx_Nm,body_forceTotal_My_Nm,body_forceTotal_Mz_Nm,body_forceExcitation_x_N,body_forceExcitation_y_N,body_forceExcitation_z_N,body_forceExcitation_Mx_Nm,body_forceExcitation_My_Nm,body_forceExcitation_Mz_Nm,body_forceRadiationDamping_x_N,body_forceRadiationDamping_y_N,body_forceRadiationDamping_z_N,body_forceRadiationDamping_Mx_Nm,body_forceRadiationDamping_My_Nm,body_forceRadiationDamping_Mz_Nm,body_forceAddedMass_x_N,body_forceAddedMass_y_N,body_forceAddedMass_z_N,body_forceAddedMass_Mx_Nm,body_forceAddedMass_My_Nm,body_forceAddedMass_Mz_Nm,body_forceRestoring_x_N,body_forceRestoring_y_N,body_forceRestoring_z_N,body_forceRestoring_Mx_Nm,body_forceRestoring_My_Nm,body_forceRestoring_Mz_Nm,body_forceMorisonAndViscous_x_N,body_forceMorisonAndViscous_y_N,body_forceMorisonAndViscous_z_N,body_forceMorisonAndViscous_Mx_Nm,body_forceMorisonAndViscous_My_Nm,body_forceMorisonAndViscous_Mz_Nm,body_forceLinearDamping_x_N,body_forceLinearDamping_y_N,body_forceLinearDamping_z_N,body_forceLinearDamping_Mx_Nm,body_forceLinearDamping_My_Nm,body_forceLinearDamping_Mz_Nm,constraint_position_x_m,constraint_position_y_m,constraint_position_z_m,constraint_roll_rad,constraint_pitch_rad,constraint_yaw_rad,constraint_velocity_x_m_s,constraint_velocity_y_m_s,constraint_velocity_z_m_s,constraint_omega_x_rad_s,constraint_omega_y_rad_s,constraint_omega_z_rad_s,constraint_acceleration_x_m_s2,constraint_acceleration_y_m_s2,constraint_acceleration_z_m_s2,constraint_alpha_x_rad_s2,constraint_alpha_y_rad_s2,constraint_alpha_z_rad_s2,constraint_force_x_N,constraint_force_y_N,constraint_force_z_N,constraint_moment_x_Nm,constraint_moment_y_Nm,constraint_moment_z_Nm
0,0.075,0,0,0.171669218047227,0,0,0,0,0,-1.95946877443766e-05,0,0,0,0,2.16840434497101e-19,-0.737285178761791,0,0,0,0.0281094944223549,2.22219435249588e-05,-71.5104644226301,-2.34827065358012e-05,0.00265193090401588,0.0034588234220167,0.0278302195989523,2.75421631059447e-05,109.561934664686,-3.23796748665926e-05,0.0024545009398582,0.00427488934342278,3.50875452075086e-10,4.83274066705205e-10,-0.000753785111462199,2.50492711702939e-10,5.14085615866734e-09,-3.0750602833649e-08,-0.000279275174278044,5.31973630691917e-06,37.474086987862,-8.46347903397864e-06,0.00013674364362541,0.000816096672008912,0,0,143.599065884566,-4.33739789524485e-07,-0.000334178748639249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746692180472269,0,0,0,0,0,-1.95946877443766e-05,0,0,0,0,0,-0.737285178761791,0,0,0,-0.0281094944223549,-2.22219435249702e-05,0,2.72975302042222e-05,-0.00747746583120444,-0.0034588234220167
0.0625,0.0735588960302428,0,0,0.170233094826914,0,0,0,1.35525271560688e-20,-1.35525271560688e-20,-0.045788565136575,0,0,0,2.16840434497101e-19,0,-0.723104287221871,0,0,0,-1.98750502919904,0.000110318572891748,-70.1350371535648,-0.000503155435538047,-0.227545083966672,0.0033815761321408,-1.98777811627933,0.000116665361662483,105.694502218719,-0.000511304620331623,-0.227714729979482,0.00411012841501237,8.1992036320028e-07,1.12930741080573e-06,-1.761433462244,5.8534751845377e-07,1.20130736529066e-05,-7.1857536042725e-05,-0.000273907000650918,5.21748135992993e-06,36.7537673032019,-8.30079566958176e-06,0.000134115183636847,0.000800409818914291,0,0,140.837205531326,-4.33736642447626e-07,-0.000315774270099565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732330948269142,0,0,0,0,0,-0.0457885651365749,0,0,0,0,0,-0.723104287221871,0,0,0,1.98750502919904,-0.000110318572891843,0,0.000521935307618321,0.565884216071281,-0.0033815761321408
0.125,0.0692909649383469,0,0,0.165982367905188,0,0,0,0,0,-0.0897972341157733,0,0,0,5.42101086242752e-20,0,-0.68112272901331,0,0,0,-3.92674085387962,0.000194175828192376,-66.0631789212839,-0.000963475656198127,-0.449021601588219,0.00317438955516086,-3.92699725390838,0.000201305175797047,97.7652893266452,-0.00097058041598038,-0.449133011529667,0.00378741755659955,1.60796872736625e-06,2.21471630863132e-06,-3.45439636548334,1.1479413691366e-06,2.35591743056916e-05,-0.000140921821152613,-0.000258007997487316,4.91463129603942e-06,34.6203853113631,-7.81897382385557e-06,0.000126330432886192,0.000753949822591302,0,0,132.662479302049,-4.33727327533601e-07,-0.000261299548639432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068982367905188,0,0,0,0,0,-0.0897972341157733,0,0,0,0,0,-0.68112272901331,0,0,0,3.92674085387962,-0.000194175828192367,0,0.00099570541995142,1.1007913466652,-0.00317438955516086
0.1875,0.0623602209226906,0,0,0.159080453862198,0,0,0,2.71050543121376e-20,5.42101086242752e-20,-0.130353722339216,0,0,0,1.0842021724855e-19,2.16840434497101e-19,-0.612957397493332,0,0,0,-5.71507423292037,0.000270571109988371,-59.451714789179,-0.00138675346740723,-0.653266403333721,0.00284522040810498,-5.71530408935513,0.000278208944918971,86.0790111931533,-0.00139255735055077,-0.653291363323458,0.00331915836549481,2.3342000572869e-06,3.2149822608484e-06,-5.01455784367767,1.66640355872438e-06,3.41995618932529e-05,-0.000204568482837465,-0.00023219063481389,4.4228526697516e-06,31.156124310999,-7.03657449937548e-06,0.000113689279765833,0.000678506440227293,0,0,119.389159515011,-4.33712202888545e-07,-0.000172848831395761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620804538621979,0,0,0,0,0,-0.130353722339216,0,0,0,0,0,-0.612957397493332,0,0,0,5.71507423292037,-0.000270571109988182,0,0.00142979604238619,1.56242300616285,-0.00284522040810498
0.25,0.0530330085889926,0,0,0.149792686268093,0,0,0,1.35525271560688e-20,-5.42101086242752e-20,-0.165899058687881,0,0,0,0,2.16840434497101e-19,-0.521232187221995,0,0,0,-7.28378051583505,0.000336568569440728,-50.5551404720572,-0.00175672248561676,-0.832430475463744,0.00240671307058965,-7.28397499382695,0.000344421300309013,71.0847649331781,-0.00176101908709455,-0.832344094394694,0.00272334577980972,2.97069838393556e-06,4.09165554463437e-06,-6.38194607007231,2.12080466000886e-06,4.35252252395534e-05,-0.000260350975261206,-0.000197448690291115,3.76107532365081e-06,26.4943327481092,-5.98371428783609e-06,9.66783152468519e-05,0.00057698368448128,0,0,101.527518727198,-4.33691849956394e-07,-5.38224714361675e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052792686268093,0,0,0,0,0,-0.165899058687881,0,0,0,0,0,-0.521232187221995,0,0,0,7.28378051583505,-0.000336568569440754,0,0.00180713799574672,1.92348752511787,-0.00240671307058965
0.3125,0.0416677674764707,0,0,0.138476102211926,0,0,0,2.71050543121376e-20,1.0842021724855e-19,-0.195067140783818,0,0,0,0,0,-0.409476898138594,0,0,0,-8.57257519806194,0.000389631928815934,-39.715816891105,-0.00205916495144065,-0.979628642584713,0.00187571355073794,-8.57272682418668,0.000397397738281889,53.358771021612,-0.00206180584771226,-0.979410308702336,0.00202287654307628,3.4930013736585e-06,4.81104326014113e-06,-7.50400865665955,2.49368082291082e-06,5.11777541512451e-05,-0.000306125427993112,-0.00015511912611366,2.95476620581358e-06,20.8144087296387,-4.70091004338602e-06,7.59521663735594e-05,0.00045328842033145,0,0,79.7641878397378,-4.33667051137395e-07,9.12039618519851e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041476102211926,0,0,0,0,0,-0.195067140783818,0,0,0,0,0,-0.409476898138594,0,0,0,8.57257519806194,-0.000389631928815692,0,0.00211311966224037,2.16672544193096,-0.00187571355073795
0.375,0.0287012574273809,0,0,0.125565702901419,0,0,0,0,0,-0.216737236221729,0,0,0,5.42101086242752e-20,-1.0842021724855e-19,-0.281990731625803,0,0,0,-9.53193062101383,0.000427721955822606,-27.3507304396168,-0.00228245812082311,-1.08920416114614,0.00127262313023493,-9.53203357033344,0.000435102404035807,33.5822294636283,-0.00228335856587642,-1.08883833410617,0.00124466929523464,3.88104044998771e-06,5.34550419592073e-06,-8.33763231620217,2.77070493474754e-06,5.68631136243943e-05,-0.00034013303795718,-0.00010683036005667,2.03494401728123e-06,14.3348588576038,-3.23751122837685e-06,5.23081678195292e-05,0.000312179202956889,0,0,54.9357333618435,-4.33638759679997e-07,0.00025665575852806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285657029014191,0,0,0,0,0,-0.216737236221729,0,0,0,0,0,-0.281990731625803,0,0,0,9.53193062101383,-0.000427721955822857,0,0.00233616532885239,2.2860877295813,-0.00127262313023493
0.4375,0.0146317741512114,0,0,0.111557719457389,0,0,0,0,-1.0842021724855e-19,-0.230077008415821,0,0,0,2.71050543121376e-20,0,-0.143676387071327,0,0,0,-10.1249792924837,0.000449374836197206,-13.9354017441272,-0.0024180209279216,-1.15694610500653,0.000620615048340567,-10.1250296119981,0.000456086328410862,12.5151416604947,-0.00241716309487614,-1.15642291295785,0.000418630104395944,4.11991124294147e-06,5.67450999796571e-06,-8.85079801709932,2.94123664997513e-06,6.03629320922286e-05,-0.000361067591341405,-5.44394256221959e-05,1.03698221569055e-06,7.30486616509729,-1.64979554149901e-06,2.66555931285244e-05,0.000159082647396782,0,0,27.9964752566238,-4.33608063010026e-07,0.000436173523461735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145577194573891,0,0,0,0,0,-0.230077008415821,0,0,0,0,0,-0.143676387071327,0,0,0,10.1249792924837,-0.000449374836196892,0,0.00246815215982932,2.28646570442931,-0.000620615048340567
0.5,2.56943710082224e-16,0,0,0.0969905296244433,0,0,0,2.71050543121376e-20,0,-0.234574421896274,0,0,0,0,-1.05879118406788e-22,0.000148837713741976,0,0,0,-10.3289306838799,0.000453758432812234,0.0144360070429816,-0.00246064375526943,-1.1802511890228,-5.52556149855219e-05,-10.3289264438558,0.000459543110961252,-9.03289601808557,-0.00245807740170048,-1.17956680779402,-0.000423496806584458,4.20044490638684e-06,5.78543206677886e-06,-9.02380834346332,2.99873025809305e-06,6.15428720887565e-05,-0.000368125533653133,3.9579125951706e-08,-7.53917760446939e-10,-0.00531086091942345,1.1994517720483e-09,-1.93794307288894e-08,-1.15657945802589e-07,0,0,-0.0182128207458016,-4.33576140912139e-07,0.000622857736119731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.47037555673342e-06,0,0,0,0,0,-0.234574421896274,0,0,0,0,0,0.000148837713741976,0,0,0,10.3289306838799,-0.000453758432812812,0,0.00250465402598954,2.18205964650647,5.52556149855223e-05
0.5625,-0.0146317741512067,0,0,0.0824239606644903,0,0,0,2.71050543121376e-20,1.0842021724855e-19,-0.23005731587197,0,0,0,-1.35525271560688e-20,5.42101086242752e-20,0.143957617229163,0,0,0,-10.1359470575435,0.000440704268467005,13.9626787053029,-0.00240868863778601,-1.15822381186488,-0.000729014698139486,-10.1358884250049,0.00044533990947215,-30.2338045683911,-0.00240452917248317,-1.15738061171536,-0.00124934897278733,4.11955861521317e-06,5.67402431042254e-06,-8.85004046757594,2.94098490629981e-06,6.03577655625725e-05,-0.000361036687169691,5.45129799335219e-05,-1.0383833052777e-06,-7.31473593124463,1.65202461672335e-06,-2.66916080896135e-05,-0.00015929758747815,0,0,-28.0317068748734,-4.33544220174814e-07,0.00080953399204845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145760393355097,0,0,0,0,0,-0.23005731587197,0,0,0,0,0,0.143957617229163,0,0,0,10.1359470575435,-0.000440704268467762,0,0.00244501322907481,1.9936687134332,0.000729014698139486
