time_s,wave_elevation_m,body_position_x_m,body_position_y_m,body_position_z_m,body_roll_rad,body_pitch_rad,body_yaw_rad,body_velocity_x_m_s,body_velocity_y_m_s,body_velocity_z_m_s,body_omega_x_rad_s,body_omega_y_rad_s,body_omega_z_rad_s,body_acceleration_x_m_s2,body_acceleration_y_m_s2,body_acceleration_z_m_s2,body_alpha_x_rad_s2,body_alpha_y_rad_s2,body_alpha_z_rad_s2,body_forceTotal_x_N,body_forceTotal_y_N,body_forceTotal_z_N,body_forceTotal_Mx_Nm,body_forceTotal_My_Nm,body_forceTotal_Mz_Nm,body_forceExcitation_x_N,body_forceExcitation_y_N,body_forceExcitation_z_N,body_forceExcitation_Mx_Nm,body_forceExcitation_My_Nm,body_forceExcitation_Mz_Nm,body_forceRadiationDamping_x_N,body_forceRadiationDamping_y_N,body_forceRadiationDamping_z_N,body_forceRadiationDamping_Mx_Nm,body_forceRadiationDamping_My_Nm,body_forceRadiationDamping_Mz_Nm,body_forceAddedMass_x_N,body_forceAddedMass_y_N,body_forceAddedMass_z_N,body_forceAddedMass_Mx_Nm,body_forceAddedMass_My_Nm,body_forceAddedMass_Mz_Nm,body_forceRestoring_x_N,body_forceRestoring_y_N,body_forceRestoring_z_N,body_forceRestoring_Mx_Nm,body_forceRestoring_My_Nm,body_forceRestoring_Mz_Nm,body_forceMorisonAndViscous_x_N,body_forceMorisonAndViscous_y_N,body_forceMorisonAndViscous_z_N,body_forceMorisonAndViscous_Mx_Nm,body_forceMorisonAndViscous_My_Nm,body_forceMorisonAndViscous_Mz_Nm,body_forceLinearDamping_x_N,body_forceLinearDamping_y_N,body_forceLinearDamping_z_N,body_forceLinearDamping_Mx_Nm,body_forceLinearDamping_My_Nm,body_forceLinearDamping_Mz_Nm,constraint_position_x_m,constraint_position_y_m,constraint_position_z_m,constraint_roll_rad,constraint_pitch_rad,constraint_yaw_rad,constraint_velocity_x_m_s,constraint_velocity_y_m_s,constraint_velocity_z_m_s,constraint_omega_x_rad_s,constraint_omega_y_rad_s,constraint_omega_z_rad_s,constraint_acceleration_x_m_s2,constraint_acceleration_y_m_s2,constraint_acceleration_z_m_s2,constraint_alpha_x_rad_s2,constraint_alpha_y_rad_s2,constraint_alpha_z_rad_s2,constraint_force_x_N,constraint_force_y_N,constraint_force_z_N,constraint_moment_x_Nm,constraint_moment_y_Nm,constraint_moment_z_Nm
0,-0.162499999999995,0,0,-0.0653562749909093,0,0,0,1.62630325872826e-19,-2.16840434497101e-19,-0.588960392623553,0,0,0,-2.71050543121376e-19,0,0.712388154357344,0,0,0,-18.2135574428162,-0.000524161680705715,72.7335920364236,-0.00482827643098414,-2.09409085339567,-0.00392350084844587,-18.2132779836835,-0.000517663357237505,-286.189952508426,-0.00481785922164157,-2.09147139104536,-0.00510531324922039,2.47251769410611e-06,2.47395085515299e-06,-8.94913570368895,1.33703749353217e-06,6.03302435609947e-05,-0.000163025371137614,0.000276986615073844,4.02437261305751e-06,-37.7412016520018,9.51339222809012e-06,-0.000144263176061852,-0.0010187870296369,0,0,-312.233207189159,-4.33220379049481e-07,0.00270339528280658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162356274990909,0,0,0,0,0,-0.588960392623553,0,0,0,0,0,0.712388154357344,0,0,0,18.2135574428162,0.000524161680704793,0,0.00486253368592812,0.903720584600244,0.00392350084844587
0.0625,-0.197847464427831,0,0,-0.100672026068098,0,0,0,2.16840434497101e-19,0,-0.539528953132177,0,0,0,-3.79470760369927e-19,4.33680868994202e-19,0.867377964545228,0,0,0,-16.6861514200795,-0.000479070238663673,88.5577821988467,-0.00441292258262056,-1.91854690340691,-0.0047502853653569,-16.6858119033058,-0.000471903953949618,-345.743170128078,-0.0044005476441056,-1.91551130741983,-0.00614007688800018,2.2649993103263e-06,2.26631218618175e-06,-8.19803483922087,1.2248199509147e-06,5.526672686032e-05,-0.000149342653471235,0.000337251774364078,4.89997252787383e-06,-45.9527158753731,1.15832615532319e-05,-0.000175651130612519,-0.00124044886917205,0,0,-380.150201612331,-4.33142989183914e-07,0.00315598039083888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197672026068098,0,0,0,0,0,-0.539528953132177,0,0,0,0,0,0.867377964545228,0,0,0,16.6861514200795,0.00047907023866367,0,0.00446115155417583,0.238718232668443,0.0047502853653569
0.125,-0.229809703885626,0,0,-0.132604907643874,0,0,0,1.62630325872826e-19,0,-0.48086346509157,0,0,0,-2.16840434497101e-19,0,1.00749980798688,0,0,0,-14.8732407095185,-0.000425781605214137,102.863978805205,-0.00392205461205586,-1.71018673622014,-0.00549583139638815,-14.8728469550815,-0.000418070143173158,-399.380626248721,-0.00390794147631667,-1.70677629424427,-0.00706978210887536,2.01871541920141e-06,2.01988553996958e-06,-7.30662444868531,1.09163959096341e-06,4.92573190521846e-05,-0.000133103933379742,0.000391735721573995,5.69157650100878e-06,-53.3765028980719,1.34545691606565e-05,-0.000204028051521832,-0.00144084677910746,0,0,-441.561477707169,-4.3307301243595e-07,0.00356521270834409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.229604907643874,0,0,0,0,0,-0.48086346509157,0,0,0,0,0,1.00749980798688,0,0,0,14.8732407095185,0.000425781605214226,0,0.00397851534249173,-0.262077974430673,0.00549583139638815
0.1875,-0.257839835594645,0,0,-0.160608434030276,0,0,0,1.0842021724855e-19,-2.16840434497101e-19,-0.413969490704137,0,0,0,-4.33680868994202e-19,0,1.13035333782931,0,0,0,-12.8058447152041,-0.000365207559084276,115.407110614934,-0.00336407138193773,-1.47257545132964,-0.00614738499773349,-12.8054034719241,-0.000357083036336078,-446.184569125011,-0.00334846934638202,-1.46883786546646,-0.00787852139775359,1.73788747665464e-06,1.73889481934882e-06,-6.29018384919857,9.39779206177665e-07,4.24050250471847e-05,-0.000114587552417684,0.000439505392563282,6.38562792884962e-06,-59.8854267504942,1.50952679958933e-05,-0.000228907970194093,-0.00161654884760242,0,0,-495.416069140251,-4.33011646357746e-07,0.00392408880833624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257608434030276,0,0,0,0,0,-0.413969490704137,0,0,0,0,0,1.13035333782931,0,0,0,12.8058447152041,0.000365207559084535,0,0.00342272679609837,-0.584151214814176,0.00614738499773349
0.25,-0.281458256229938,0,0,-0.184203466727859,0,0,0,1.0842021724855e-19,0,-0.339993461099703,0,0,0,-4.33680868994202e-19,8.67361737988404e-19,1.23383730533435,0,0,0,-10.5193371560601,-0.000298384550629254,125.972643784996,-0.00274852015331076,-1.20977864387393,-0.00669379642242875,-10.518855985033,-0.000289986139745153,-485.354170317848,-0.00273170397755956,-1.20576721357167,-0.00855245700117765,1.42732832118765e-06,1.42815565251713e-06,-5.16613283313417,7.71841384818947e-07,3.48272796850047e-05,-9.41108449300574e-05,0.000479743698812235,6.97025523158418e-06,-65.3681538847014,1.64772943073035e-05,-0.000249865321715498,-0.00176454973381884,0,0,-540.792527385009,-4.32959940918875e-07,0.00422646834428667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.281203466727859,0,0,0,0,0,-0.339993461099703,0,0,0,0,0,1.23383730533435,0,0,0,10.5193371560601,0.000298384550629471,0,0.00280348362195482,-0.72791972795152,0.00669379642242875
0.3125,-0.300260848066165,0,0,-0.202986409095652,0,0,0,5.42101086242752e-20,-1.0842021724855e-19,-0.260202785597013,0,0,0,-2.16840434497101e-19,8.67361737988404e-19,1.31618636190633,0,0,0,-8.05284081244337,-0.000226455977136379,134.380339292924,-0.00208593325332197,-0.926292840729458,-0.00712570833597168,-8.05232795586006,-0.000217927499903841,-516.219227090948,-0.00206819839630963,-0.922065550350841,-0.00908005769412249,1.09235867046756e-06,1.0929918412228e-06,-3.95372943231842,5.90703355644984e-07,2.66539102237235e-05,-7.20246322575847e-05,0.000511764224639588,7.435485391316e-06,-69.7311557645218,1.75770724372458e-05,-0.000266542599618581,-0.00188232472589323,0,0,-576.914681187032,-4.32918780548772e-07,0.00446717906801196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.299986409095652,0,0,0,0,0,-0.260202785597013,0,0,0,0,0,1.31618636190633,0,0,0,8.05284081244337,0.000226455977136109,0,0.00213190073893904,-0.708324398807337,0.00712570833597168
0.375,-0.313925893543945,0,0,-0.21663609166629,0,0,0,2.71050543121376e-20,-1.0842021724855e-19,-0.175963921084643,0,0,0,-3.25260651745651e-19,0,1.37600021565004,0,0,0,-5.4485581240506,-0.000150652611097844,140.487229770694,-0.00138764784742449,-0.626968563648962,-0.00743571772579435,-5.44802236283532,-0.000142140060118256,-538.251629765513,-0.00136930536708591,-0.622587089918641,-0.00945229608245329,7.38715054280668e-07,7.39143240353131e-07,-2.67373668664712,3.99467201777493e-07,1.8024889873655e-05,-4.87071522991011e-05,0.000535022500228726,7.77340773923522e-06,-72.9002448876704,1.83759020058504e-05,-0.00027865622722228,-0.00196787120435984,0,0,-603.164877961889,-4.32888869048465e-07,0.00464210506766963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31363609166629,0,0,0,0,0,-0.175963921084643,0,0,0,0,0,1.37600021565004,0,0,0,5.4485581240506,0.000150652611097923,0,0.00142028464029212,-0.553385773561973,0.00743571772579435
0.4375,-0.322219579946488,0,0,-0.224919233874618,0,0,0,4.06575814682064e-20,2.71050543121376e-20,-0.0887188169662353,0,0,0,-4.33680868994202e-19,8.67361737988404e-19,1.41226622579937,0,0,0,-2.75104909394439,-7.22715329252064e-05,144.189926356616,-0.000665611938751126,-0.316927335317119,-0.00761850456472014,-2.75049959670529,-6.39205644953774e-05,-551.074397823244,-0.000646983143388175,-0.312455991764181,-0.00966280306414172,3.72450927934277e-07,3.72666814017948e-07,-1.34806472972633,2.01406386832354e-07,9.08792493188486e-06,-2.45575394270276e-05,0.000549124788165281,7.97830161581109e-06,-74.821772007767,1.88602596937408e-05,-0.000286001133931667,-0.00201974095999456,0,0,-619.094487442367,-4.32870717621909e-07,0.00474825676193798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.321919233874618,0,0,0,0,0,-0.0887188169662353,0,0,0,0,0,1.41226622579937,0,0,0,2.75104909394439,7.22715329252166e-05,0,0.000681867196567584,-0.301836519244315,0.00761850456472014
0.5,-0.325,0,0,-0.227694393996483,0,0,0,-6.61744490042422e-24,0,3.98350600123651e-05,0,0,0,-4.33680868994202e-19,4.33680868994202e-19,1.42437507147229,0,0,0,-0.00646885389926585,7.34607218309457e-06,145.42621844797,6.78200879302406e-05,-0.0014740484738915,-0.00767092523936347,-0.00591501989308106,1.53926297081455e-05,-554.468130147531,8.6409141270545e-05,0.00302131503853151,-0.00970797680636754,-1.67231773069849e-10,-1.67328706678671e-10,0.00060528579218587,-9.04321741507653e-11,-4.08051017167282e-09,1.10264213419794e-08,0.000553834173416565,8.04672485375759e-06,-75.4634559331001,1.90220084086988e-05,-0.000288453927087274,-0.00203706259342541,0,0,-624.431497948192,-4.32864636220205e-07,0.00478382152002045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.324694393996483,0,0,0,0,0,3.98350600123651e-05,0,0,0,0,0,1.42437507147229,0,0,0,0.00646885389926585,-7.34607218301313e-06,0,-6.94927473842062e-05,1.12670544637635e-06,0.00767092523936347
0.5625,-0.32221957994649,0,0,-0.224914346116393,0,0,0,-2.03287907341032e-20,2.71050543121376e-20,0.0887941135896545,0,0,0,-3.25260651745651e-19,4.33680868994202e-19,1.41212948549283,0,0,0,2.73822206336081,8.68378717941384e-05,144.175965409048,0.000800098875836763,0.313993802476236,-0.0075920687651739,2.73877076454886,9.44424517497017e-05,-548.374759037387,0.000818322941564828,0.3184469263032,-0.00958704437387678,-3.72767031081521e-07,-3.72983100390055e-07,1.34920884690203,-2.01577322620072e-07,-9.09563795246671e-06,2.45783816774269e-05,0.000549073955087233,7.97756305595336e-06,-74.8148456750704,1.88585137790183e-05,-0.000285974658496081,-0.00201955399038031,0,0,-619.085087618267,-4.32870728332794e-07,0.0047481941234122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.321914346116393,0,0,0,0,0,0.0887941135896545,0,0,0,0,0,1.41212948549283,0,0,0,-2.73822206336081,-8.68378717939766e-05,0,-0.000819629958989473,0.301871622426041,0.0075920687651739
