time,ax,ay,az
0,2.16840434497101e-19,0,-0.633138363110807
0.0625,0,0,-0.625210277367838
0.125,1.62630325872826e-19,2.16840434497101e-19,-0.601586221704886
0.1875,1.0842021724855e-19,4.33680868994202e-19,-0.56292496644484
0.25,1.0842021724855e-19,4.33680868994202e-19,-0.51028702876136
0.3125,5.42101086242752e-20,0,-0.445091272477779
0.375,1.0842021724855e-19,2.16840434497101e-19,-0.369060992987893
0.4375,8.13151629364128e-20,1.0842021724855e-19,-0.284163801728238
0.5,2.71050543121376e-20,5.42101086242752e-20,-0.192549423579002
0.5625,1.35525271560688e-20,2.71050543121376e-20,-0.0964888987540521
0.625,-2.11758236813575e-22,-4.2351647362715e-22,0.00168230292634595
0.6875,-2.03287907341032e-20,-5.42101086242752e-20,0.0996159170275783
0.75,-4.06575814682064e-20,-5.42101086242752e-20,0.194997091086478
0.8125,-1.0842021724855e-19,-2.16840434497101e-19,0.285585953756351
0.875,-8.13151629364128e-20,-1.0842021724855e-19,0.369255969959168
0.9375,-1.0842021724855e-19,-2.16840434497101e-19,0.444030717476805
1,-5.42101086242752e-20,0,0.508120498237276
1.0625,-1.0842021724855e-19,-2.16840434497101e-19,0.559959598022723
1.125,-1.62630325872826e-19,0,0.59824414776415
1.1875,-2.71050543121376e-19,-2.16840434497101e-19,0.621969574096076
1.25,-1.62630325872826e-19,0,0.630465727068336
1.3125,-2.16840434497101e-19,-2.16840434497101e-19,0.623427097284983
1.375,-3.25260651745651e-19,-4.33680868994202e-19,0.600935205300767
1.4375,-1.62630325872826e-19,-4.33680868994202e-19,0.563470330501933
1.5,-1.62630325872826e-19,0,0.511910248904152
1.5625,-1.0842021724855e-19,-2.16840434497101e-19,0.447514510220004
1.625,-8.13151629364128e-20,-1.0842021724855e-19,0.371893892125396
1.6875,-8.13151629364128e-20,0,0.286965876692028
1.75,-5.42101086242752e-20,-1.0842021724855e-19,0.19489814074422
1.8125,-1.35525271560688e-20,-2.71050543121376e-20,0.0980429900991589
1.875,1.05879118406788e-22,8.470329472543e-22,-0.0011337182087265
1.9375,2.71050543121376e-20,5.42101086242752e-20,-0.100125398167619
2,2.71050543121376e-20,1.0842021724855e-19,-0.196455710784992
2.0625,8.13151629364128e-20,1.0842021724855e-19,-0.287744633418715
2.125,1.0842021724855e-19,2.16840434497101e-19,-0.371767351421987
2.1875,5.42101086242752e-20,2.16840434497101e-19,-0.446504623577103
2.25,1.62630325872826e-19,2.16840434497101e-19,-0.510184190634959
2.3125,1.62630325872826e-19,0,-0.561313581027594
2.375,1.62630325872826e-19,4.33680868994202e-19,-0.598705219227541
2.4375,2.71050543121376e-19,4.33680868994202e-19,-0.621495002173619
2.5,1.0842021724855e-19,0,-0.629155468749989
2.5625,1.62630325872826e-19,4.33680868994202e-19,-0.621504386105305
2.625,5.42101086242752e-20,2.16840434497101e-19,-0.59870909472136
2.6875,1.62630325872826e-19,0,-0.561286398170354
2.75,2.16840434497101e-19,4.33680868994202e-19,-0.510097268912437
2.8125,1.62630325872826e-19,2.16840434497101e-19,-0.446335274207374
2.875,8.13151629364128e-20,2.16840434497101e-19,-0.371507486181115
2.9375,8.13151629364128e-20,1.0842021724855e-19,-0.287406769235349
3,6.7762635780344e-20,1.0842021724855e-19,-0.19607473438071
3.0625,2.03287907341032e-20,5.42101086242752e-20,-0.0997552688909908
3.125,4.2351647362715e-22,4.2351647362715e-22,-0.000839310705883869
3.1875,-2.03287907341032e-20,-5.42101086242752e-20,0.098197662649525
3.25,-1.35525271560688e-20,0,0.194863230970552
3.3125,-5.42101086242752e-20,-2.16840434497101e-19,0.28671795514079
3.375,-1.0842021724855e-19,-2.16840434497101e-19,0.37144455593508
3.4375,-1.0842021724855e-19,-2.16840434497101e-19,0.446913250548226
3.5,-1.62630325872826e-19,-2.16840434497101e-19,0.511240412299116
3.5625,-1.62630325872826e-19,-2.16840434497101e-19,0.562838231682154
3.625,-1.62630325872826e-19,0,0.600453748920488
3.6875,-1.62630325872826e-19,-2.16840434497101e-19,0.623196407606075
3.75,-1.0842021724855e-19,-6.50521303491303e-19,0.630554047028172
3.8125,-1.62630325872826e-19,-2.16840434497101e-19,0.622397916109423
3.875,-1.62630325872826e-19,-4.33680868994202e-19,0.598977783740701
3.9375,-1.62630325872826e-19,-2.16840434497101e-19,0.560908497940918
4,-1.0842021724855e-19,0,0.509149403392564
4.0625,-1.0842021724855e-19,-2.16840434497101e-19,0.444977890948475
4.125,-1.35525271560688e-19,-1.0842021724855e-19,0.369958078919313
4.1875,-5.42101086242752e-20,0,0.285905287501208
4.25,-5.42101086242752e-20,0,0.194846643395548
4.3125,-2.03287907341032e-20,-2.71050543121376e-20,0.0989779132401436
4.375,-1.05879118406788e-22,-2.11758236813575e-22,0.000616565376078619
4.4375,2.03287907341032e-20,5.42101086242752e-20,-0.0978488731125047
4.5,4.06575814682064e-20,0,-0.194012866064194
4.5625,5.42101086242752e-20,0,-0.285509663651575
4.625,1.0842021724855e-19,1.0842021724855e-19,-0.370071743093556
4.6875,5.42101086242752e-20,2.16840434497101e-19,-0.445588348017551
4.75,1.62630325872826e-19,0,-0.510162200208548
4.8125,1.0842021724855e-19,2.16840434497101e-19,-0.562162209954967
4.875,1.62630325872826e-19,4.33680868994202e-19,-0.600269943506521
4.9375,2.16840434497101e-19,2.16840434497101e-19,-0.623517741272528
5,2.16840434497101e-19,2.16840434497101e-19,-0.6313167133411
5.0625,1.0842021724855e-19,2.16840434497101e-19,-0.623473337837524
5.125,2.16840434497101e-19,2.16840434497101e-19,-0.600193998854097
5.1875,1.62630325872826e-19,4.33680868994202e-19,-0.562077456723484
5.25,1.62630325872826e-19,2.16840434497101e-19,-0.510095872994103
5.3125,1.0842021724855e-19,0,-0.445565550661609
5.375,8.13151629364128e-20,1.0842021724855e-19,-0.370108947311797
5.4375,2.71050543121376e-20,2.16840434497101e-19,-0.285609746717814
5.5,4.06575814682064e-20,0,-0.194162829478334
5.5625,1.35525271560688e-20,2.71050543121376e-20,-0.0980208855336187
5.625,-1.05879118406788e-22,0,0.000460799746052794
5.6875,-2.03287907341032e-20,0,0.0988801270052195
5.75,-6.7762635780344e-20,-5.42101086242752e-20,0.194843551985142
5.8125,-5.42101086242752e-20,0,0.286020297143353
5.875,-8.13151629364128e-20,-1.0842021724855e-19,0.370194813638989
5.9375,-1.0842021724855e-19,-2.16840434497101e-19,0.44531695302593
6,-1.0842021724855e-19,-2.16840434497101e-19,0.509549259053135
6.0625,-2.16840434497101e-19,0,0.561310661129462
6.125,-2.71050543121376e-19,-2.16840434497101e-19,0.599315678481646
6.1875,-1.62630325872826e-19,-2.16840434497101e-19,0.622608073378118
6.25,-1.0842021724855e-19,0,0.630587770317062
6.3125,-1.62630325872826e-19,-2.16840434497101e-19,0.623029827089936
6.375,-1.0842021724855e-19,-4.33680868994202e-19,0.600094331787324
6.4375,-5.42101086242752e-20,-2.16840434497101e-19,0.562326318500829
6.5,-1.0842021724855e-19,-4.33680868994202e-19,0.510645135923594
6.5625,-1.0842021724855e-19,-2.16840434497101e-19,0.446323141364488
6.625,-1.0842021724855e-19,-2.16840434497101e-19,0.370954087581229
6.6875,-8.13151629364128e-20,0,0.286412072435972
6.75,-4.06575814682064e-20,5.42101086242752e-20,0.194802381206034
6.8125,-2.03287907341032e-20,-5.42101086242752e-20,0.0984059233854045
6.875,7.94093388050907e-23,0,-0.000380783553928476
6.9375,3.3881317890172e-20,2.71050543121376e-20,-0.0991080195249473
7,5.42101086242752e-20,1.0842021724855e-19,-0.195335620401688
7.0625,5.42101086242752e-20,1.0842021724855e-19,-0.286694204865318
7.125,1.0842021724855e-19,1.0842021724855e-19,-0.370943228468006
7.1875,1.62630325872826e-19,2.16840434497101e-19,-0.446024522101905
7.25,1.0842021724855e-19,2.16840434497101e-19,-0.510110283627305
7.3125,1.0842021724855e-19,0,-0.56164477894305
7.375,2.16840434497101e-19,2.16840434497101e-19,-0.599379243878058
7.4375,1.0842021724855e-19,2.16840434497101e-19,-0.622399645168653
7.5,2.16840434497101e-19,4.33680868994202e-19,-0.630147055870592
7.5625,5.42101086242752e-20,0,-0.622430439709294
7.625,1.62630325872826e-19,2.16840434497101e-19,-0.599431642626518
